ID;Голос;Вариант;Текст;Указания;WAV;MP3
letter-01;female;normal;а;Название буквы А.;materials/audio/incoming/ru/female/letter-01-normal.wav;public/audio/ru/female/letter-01-normal.mp3
letter-01;male;normal;а;Название буквы А.;materials/audio/incoming/ru/male/letter-01-normal.wav;public/audio/ru/male/letter-01-normal.mp3
letter-02;female;normal;бэ;Название буквы Б.;materials/audio/incoming/ru/female/letter-02-normal.wav;public/audio/ru/female/letter-02-normal.mp3
letter-02;male;normal;бэ;Название буквы Б.;materials/audio/incoming/ru/male/letter-02-normal.wav;public/audio/ru/male/letter-02-normal.mp3
letter-03;female;normal;вэ;Название буквы В.;materials/audio/incoming/ru/female/letter-03-normal.wav;public/audio/ru/female/letter-03-normal.mp3
letter-03;male;normal;вэ;Название буквы В.;materials/audio/incoming/ru/male/letter-03-normal.wav;public/audio/ru/male/letter-03-normal.mp3
letter-04;female;normal;гэ;Название буквы Г.;materials/audio/incoming/ru/female/letter-04-normal.wav;public/audio/ru/female/letter-04-normal.mp3
letter-04;male;normal;гэ;Название буквы Г.;materials/audio/incoming/ru/male/letter-04-normal.wav;public/audio/ru/male/letter-04-normal.mp3
letter-05;female;normal;дэ;Название буквы Д.;materials/audio/incoming/ru/female/letter-05-normal.wav;public/audio/ru/female/letter-05-normal.mp3
letter-05;male;normal;дэ;Название буквы Д.;materials/audio/incoming/ru/male/letter-05-normal.wav;public/audio/ru/male/letter-05-normal.mp3
letter-06;female;normal;е;Название буквы Е.;materials/audio/incoming/ru/female/letter-06-normal.wav;public/audio/ru/female/letter-06-normal.mp3
letter-06;male;normal;е;Название буквы Е.;materials/audio/incoming/ru/male/letter-06-normal.wav;public/audio/ru/male/letter-06-normal.mp3
letter-07;female;normal;ё;Название буквы Ё.;materials/audio/incoming/ru/female/letter-07-normal.wav;public/audio/ru/female/letter-07-normal.mp3
letter-07;male;normal;ё;Название буквы Ё.;materials/audio/incoming/ru/male/letter-07-normal.wav;public/audio/ru/male/letter-07-normal.mp3
letter-08;female;normal;жэ;Название буквы Ж.;materials/audio/incoming/ru/female/letter-08-normal.wav;public/audio/ru/female/letter-08-normal.mp3
letter-08;male;normal;жэ;Название буквы Ж.;materials/audio/incoming/ru/male/letter-08-normal.wav;public/audio/ru/male/letter-08-normal.mp3
letter-09;female;normal;зэ;Название буквы З.;materials/audio/incoming/ru/female/letter-09-normal.wav;public/audio/ru/female/letter-09-normal.mp3
letter-09;male;normal;зэ;Название буквы З.;materials/audio/incoming/ru/male/letter-09-normal.wav;public/audio/ru/male/letter-09-normal.mp3
letter-10;female;normal;и;Название буквы И.;materials/audio/incoming/ru/female/letter-10-normal.wav;public/audio/ru/female/letter-10-normal.mp3
letter-10;male;normal;и;Название буквы И.;materials/audio/incoming/ru/male/letter-10-normal.wav;public/audio/ru/male/letter-10-normal.mp3
letter-11;female;normal;и краткое;Название буквы Й.;materials/audio/incoming/ru/female/letter-11-normal.wav;public/audio/ru/female/letter-11-normal.mp3
letter-11;male;normal;и краткое;Название буквы Й.;materials/audio/incoming/ru/male/letter-11-normal.wav;public/audio/ru/male/letter-11-normal.mp3
letter-12;female;normal;ка;Название буквы К.;materials/audio/incoming/ru/female/letter-12-normal.wav;public/audio/ru/female/letter-12-normal.mp3
letter-12;male;normal;ка;Название буквы К.;materials/audio/incoming/ru/male/letter-12-normal.wav;public/audio/ru/male/letter-12-normal.mp3
letter-13;female;normal;эль;Название буквы Л.;materials/audio/incoming/ru/female/letter-13-normal.wav;public/audio/ru/female/letter-13-normal.mp3
letter-13;male;normal;эль;Название буквы Л.;materials/audio/incoming/ru/male/letter-13-normal.wav;public/audio/ru/male/letter-13-normal.mp3
letter-14;female;normal;эм;Название буквы М.;materials/audio/incoming/ru/female/letter-14-normal.wav;public/audio/ru/female/letter-14-normal.mp3
letter-14;male;normal;эм;Название буквы М.;materials/audio/incoming/ru/male/letter-14-normal.wav;public/audio/ru/male/letter-14-normal.mp3
letter-15;female;normal;эн;Название буквы Н.;materials/audio/incoming/ru/female/letter-15-normal.wav;public/audio/ru/female/letter-15-normal.mp3
letter-15;male;normal;эн;Название буквы Н.;materials/audio/incoming/ru/male/letter-15-normal.wav;public/audio/ru/male/letter-15-normal.mp3
letter-16;female;normal;о;Название буквы О.;materials/audio/incoming/ru/female/letter-16-normal.wav;public/audio/ru/female/letter-16-normal.mp3
